epoch,loss,train_forward_flops_epoch,train_estimated_flops_epoch,cumulative_train_estimated_flops,cumulative_train_estimated_tflops,val_loss,val_macro_f1,val_balanced_acc,val_accuracy,val_sensitivity,val_specificity,val_auc,method_id,method_label,seed,run_dir,fusion_mode,ft_mode,warmup,trainable_params,total_params,trainable_ratio,lr,alpha_values,mode
1,0.7214441956933012,11575326744576.0,34725980233728.0,34725980233728.0,34.725980233728,0.6653361430874577,0.6776453030789928,0.6839748730286019,0.6828703703703703,0.6782945736434108,0.6896551724137931,0.7576405595651787,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
2,0.654730806206744,11575326744576.0,34725980233728.0,69451960467456.0,69.451960467456,0.6691319721716421,0.7080266912695518,0.7296177492649024,0.7083333333333334,0.6201550387596899,0.8390804597701149,0.7726543704891741,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
3,0.6250333335684044,11575326744576.0,34725980233728.0,104177940701184.0,104.177940701184,0.6489539256802311,0.7144684166689057,0.7326249665864742,0.7152777777777778,0.6434108527131783,0.8218390804597702,0.7831684932727434,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
4,0.4133279216482642,11575326744576.0,34725980233728.0,138903920934912.0,138.903920934912,0.3269594121310446,0.8807604831408572,0.8843892007484631,0.8842592592592593,0.8837209302325582,0.8850574712643678,0.9518845228548516,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
5,0.1923440484788175,11575326744576.0,34725980233728.0,173629901168640.0,173.62990116864,0.2493599338663948,0.9104223507584852,0.920743116813686,0.9120370370370372,0.875968992248062,0.9655172413793104,0.9740488282990288,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
6,0.1370087014689537,11575326744576.0,34725980233728.0,208355881402368.0,208.355881402368,0.2321129802752424,0.9121455202801944,0.9068430900828656,0.9166666666666666,0.9573643410852714,0.8563218390804598,0.9751626124922036,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
7,0.0968019991279175,11575326744576.0,34725980233728.0,243081861636096.0,243.081861636096,0.2498444837552529,0.911069073914374,0.9114541566426088,0.914351851851852,0.9263565891472868,0.896551724137931,0.9717989842288158,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
8,0.0834013458687005,11575326744576.0,34725980233728.0,277807841869824.0,277.807841869824,0.2536639747796235,0.9146750938178944,0.921812349639134,0.9166666666666666,0.8953488372093024,0.9482758620689656,0.9766328076271942,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
9,0.0587682874766295,11575326744576.0,34725980233728.0,312533822103552.0,312.533822103552,0.2166661413179503,0.9278267842822776,0.9278267842822776,0.9305555555555556,0.9418604651162792,0.913793103448276,0.9800409872583088,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
10,0.0472024149111909,11575326744576.0,34725980233728.0,347259802337280.0,347.25980233728,0.2830338333215978,0.9093779671870514,0.913258487035552,0.9120370370370372,0.9069767441860463,0.9195402298850576,0.9717544328610888,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
11,0.0510487486697481,11575326744576.0,34725980233728.0,381985782571008.0,381.985782571008,0.2398623389502366,0.925060015780373,0.9230820636193532,0.9282407407407408,0.9496124031007752,0.896551724137931,0.9775906620333245,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
12,0.049155046469333,11575326744576.0,34725980233728.0,416711762804736.0,416.711762804736,0.2961858846247196,0.90999949324039,0.9058406843090084,0.914351851851852,0.9496124031007752,0.8620689655172413,0.9730686982090352,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
13,0.0393191754093753,11575326744576.0,34725980233728.0,451437743038464.0,451.437743038464,0.316857094704001,0.9197292777549424,0.915463779738038,0.9236111111111112,0.9573643410852714,0.8735632183908046,0.9727122872672193,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
14,0.0440612050631962,11575326744576.0,34725980233728.0,486163723272192.0,486.163723272192,0.3064323582307056,0.905054945054945,0.9112536754878376,0.9074074074074074,0.8914728682170543,0.9310344827586208,0.9742938608215272,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
15,0.0478252499022785,11575326744576.0,34725980233728.0,520889703505920.0,520.88970350592,0.2451610594160027,0.939911536428631,0.940323442929698,0.9421296296296297,0.9496124031007752,0.9310344827586208,0.9762318453176512,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
16,0.0324588535416635,11575326744576.0,34725980233728.0,555615683739648.0,555.615683739648,0.2856587355059606,0.9415584415584416,0.9366479550922212,0.9444444444444444,0.9767441860465116,0.896551724137931,0.9687694912233804,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
17,0.0385504350483154,11575326744576.0,34725980233728.0,590341663973376.0,590.341663973376,0.2714647271290973,0.933000997008973,0.9354450681635926,0.9351851851851852,0.9341085271317828,0.9367816091954024,0.9752962665953844,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
18,0.0447764004167822,11575326744576.0,34725980233728.0,625067644207104.0,625.067644207104,0.2284174827789818,0.9202251780887842,0.9182705159048384,0.9236111111111112,0.9457364341085271,0.8908045977011494,0.9807983605096676,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
19,0.0430018545645501,11575326744576.0,34725980233728.0,659793624440832.0,659.793624440832,0.2141982970966233,0.9306676997149894,0.9335070836674686,0.9328703703703703,0.9302325581395348,0.9367816091954024,0.983204134366925,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
20,0.0350646057957577,11575326744576.0,34725980233728.0,694519604674560.0,694.51960467456,0.2403810414727087,0.9315155358275206,0.925153702218658,0.9351851851851852,0.9767441860465116,0.8735632183908046,0.983293237102379,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
21,0.0269508515820675,11575326744576.0,34725980233728.0,729245584908288.0,729.245584908288,0.2343811620440748,0.930297382257212,0.9307003475006684,0.9328703703703703,0.9418604651162792,0.9195402298850576,0.9812884255546646,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
22,0.0234608006346778,11575326744576.0,34725980233728.0,763971565142016.0,763.971565142016,0.2694459483027458,0.925757970540461,0.9277599572306868,0.9282407407407408,0.9302325581395348,0.9252873563218392,0.9806201550387598,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
23,0.0221134765575665,11575326744576.0,34725980233728.0,798697545375744.0,798.697545375744,0.2648320756852627,0.9351044593429216,0.9355118952151832,0.9375,0.9457364341085271,0.9252873563218392,0.97972912768422,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
24,0.0298155376053962,11575326744576.0,34725980233728.0,833423525609472.0,833.423525609472,0.3222780164193224,0.9239285950122162,0.92956428762363,0.925925925925926,0.9108527131782944,0.9482758620689656,0.9759199857435624,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
25,0.0282284853313343,11575326744576.0,34725980233728.0,868149505843200.0,868.1495058432,0.2987032077378697,0.9203820055290274,0.919206094627105,0.9236111111111112,0.9418604651162792,0.896551724137931,0.9738706228281208,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,,,,,,,,
1,0.6925193184605403,11500646391808.0,34501939175424.0,34501939175424.0,34.501939175424,0.6501120858722262,0.6605478555058387,0.6657310879443998,0.6666666666666666,0.6705426356589147,0.6609195402298851,0.7527176334313463,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
2,0.6346239448471519,11500646391808.0,34501939175424.0,69003878350848.0,69.003878350848,0.6466552151574029,0.7069199457259159,0.7221331194867683,0.7083333333333334,0.6511627906976745,0.7931034482758621,0.7743918738305267,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
3,0.6031426711444124,11500646391808.0,34501939175424.0,103505817526272.0,103.505817526272,0.6238840972935712,0.7082705304614187,0.7203287890938251,0.7106481481481481,0.6705426356589147,0.7701149425287356,0.7874231488906709,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
4,0.4416813326338429,11500646391808.0,34501939175424.0,138007756701696.0,138.007756701696,0.3839416205883026,0.8235284505906895,0.8331328521785619,0.8263888888888888,0.7984496124031008,0.867816091954023,0.9317918560099796,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
5,0.2370995787440062,11500646391808.0,34501939175424.0,172509695877120.0,172.50969587712,0.2930107447836134,0.900865460267506,0.9101844426623896,0.9027777777777778,0.872093023255814,0.9482758620689656,0.96914817784906,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
6,0.1771837723316605,11500646391808.0,34501939175424.0,207011635052544.0,207.011635052544,0.2399602377856219,0.9230152365677626,0.9230152365677626,0.925925925925926,0.937984496124031,0.9080459770114944,0.9774124565624164,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
7,0.1312029337145618,11500646391808.0,34501939175424.0,241513574227968.0,241.513574227968,0.2533212028167866,0.9211046238136086,0.9238839882384388,0.9236111111111112,0.9224806201550388,0.9252873563218392,0.9747170988149336,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
8,0.114431785290652,11500646391808.0,34501939175424.0,276015513403392.0,276.015513403392,0.287559451604331,0.9195301542777,0.9275594760759156,0.9212962962962964,0.8953488372093024,0.9597701149425288,0.9722890492738128,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
9,0.0880858087048088,11500646391808.0,34501939175424.0,310517452578816.0,310.517452578816,0.2632842640633936,0.9325105452273084,0.9317027532745256,0.9351851851851852,0.9496124031007752,0.913793103448276,0.9745611690278893,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
10,0.0842394780954661,11500646391808.0,34501939175424.0,345019391754240.0,345.01939175424,0.2604710950895592,0.9328835227272728,0.9345094894413258,0.9351851851851852,0.937984496124031,0.9310344827586208,0.9772342510915084,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
11,0.0747343458904609,11500646391808.0,34501939175424.0,379521330929664.0,379.521330929664,0.2663369338821482,0.940127395597146,0.9421946003742314,0.9421296296296297,0.9418604651162792,0.942528735632184,0.9757195045887908,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,,,,,,,,
